tag,L,N_front,fs_old,fs_match_diff,full_front_frames,tail_raw_range,tail_frames,front_frames_out,side_mask_px,side_frames_in,side_tail_detect,side_frames_out,note,side_head_range,side_head_detect,error
D5_S1,254.0,92250.0,10931.0,0.25,105000.0,103181-103434,254.0,92250.0,200.0,92250.0,223/254 maxgap 27,92250.0,,,,
D5_S2,333.0,30690.0,2509.0,0.33,35000.0,33199-33531,333.0,30690.0,200.0,30690.0,333/333 maxgap 0,30690.0,,,,
D5_S3,333.0,84109.0,3543.0,0.4,88550.0,87652-87984,333.0,84109.0,200.0,84109.0,333/333 maxgap 0,84109.0,,,,
D5_S4,334.0,31437.0,6110.0,0.28,38150.0,37547-37880,334.0,31437.0,200.0,31437.0,334/334 maxgap 0,31437.0,,,,
D6_S1,118.0,52050.0,3878.0,0.51,56725.0,55928-56045,118.0,52050.0,300.0,52050.0,118/118 maxgap 0,52050.0,,,,
D6_S3,339.0,62995.0,3742.0,0.26,67485.0,66737-67075,339.0,62995.0,,,,,,,,
D6_S4,335.0,28372.0,1780.0,0.3,30835.0,30152-30486,335.0,28372.0,200.0,28372.0,335/335 maxgap 0,28372.0,,,,
D7_S1,335.0,118398.0,2074.0,0.35,121275.0,120472-120806,335.0,118398.0,300.0,118398.0,330/335 maxgap 5,118398.0,,,,
D7_S2,334.0,30235.0,2722.0,0.31,33530.0,32957-33290,334.0,30235.0,200.0,30235.0,321/334 maxgap 13,30235.0,,,,
D7_S3,334.0,101182.0,3848.0,0.32,105680.0,105030-105363,334.0,101182.0,200.0,101182.0,314/334 maxgap 14,101182.0,,,,
D7_S4,109.0,31108.0,577.0,0.31,32200.0,31685-31793,109.0,31108.0,200.0,31108.0,94/109 maxgap 13,31108.0,,,,
D8_S1,332.0,62313.0,3402.0,0.32,67045.0,65715-66046,332.0,62313.0,300.0,62313.0,327/332 maxgap 2,62313.0,,,,
D8_S2,334.0,29227.0,4556.0,0.29,34955.0,33783-34116,334.0,29227.0,200.0,29227.0,334/334 maxgap 0,29227.0,,,,
